ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
xokleng-459_tree-1,,xokleng,459_tree,w a n,w a n,,,,1848,,,
kaingang-535_pickup-1,,kaingang,535_pickup,w ɨ n,w ɨ n,,,,1286,,,
xokleng-535_pickup-1,,xokleng,535_pickup,w a n,w a n,,,,1286,,,
kaingang-536_untie-1,,kaingang,536_untie,k a w a,k a w a,,,,1880,,,
kaingang-537_show-1,,kaingang,537_show,w ĩ,w ĩ,,,,1540,,,
xokleng-537_show-1,,xokleng,537_show,v ẽ,v ẽ,,,,1540,,,
kaingang-304_new-1,,kaingang,304_new,t õ ŋ,t õ ŋ,,,,1172,,,
xokleng-304_new-1,,xokleng,304_new,t a ŋ,t a ŋ,,,,1172,,,
kaingang-1176_strong-1,,kaingang,1176_strong,t a ɾ,t a ɾ,,,,1706,,,
xokleng-1176_strong-1,,xokleng,1176_strong,t ɔ l,t ɔ l,,,,1706,,,
ingain-79_capybara-1,,ingain,79_capybara,k ɾ a ŋ n/d a ŋ,k ɾ a ŋ n/d a ŋ,,,,295,,,
kaingang-79_capybara-1,,kaingang,79_capybara,k ɾ ɨ ŋ n/d ɨ ŋ,k ɾ ɨ ŋ n/d ɨ ŋ,,,,295,,,
xokleng-734_lowlandpaca-1,,xokleng,734_lowlandpaca,k l ɨ ŋ n/d ɨ ŋ,k l ɨ ŋ n/d ɨ ŋ,,,,1055,,,
ingain-120_die-1,,ingain,120_die,n d a,n d a,,,,499,,,
kaingang-120_die-1,,kaingang,120_die,t ɨ,t ɨ,,,,499,,,
xokleng-120_die-1,,xokleng,120_die,t ɨ,t ɨ,,,,499,,,
ingain-855_darkness-1,,ingain,855_darkness,k u n d a,k u n d a,,,,477,,,
ingain-1178_midnight-1,,ingain,1178_midnight,k u n d a,k u n d a,,,,1098,,,
kaingang-55_black-1,,kaingang,55_black,k u t ɨ,k u t ɨ,,,,208,,,
xokleng-55_black-1,,xokleng,55_black,k u t ɨ,k u t ɨ,,,,208,,,
kaingang-175_fly-1,,kaingang,175_fly,t ɛ̃,t ɛ̃,,,,686,,,
xokleng-841_approach-1,,xokleng,841_approach,t ã,t ã,,,,61,,,
ingain-453_tongue-1,,ingain,453_tongue,n ũ n d a,n ũ n d a,,,,1820,,,
kaingang-453_tongue-1,,kaingang,453_tongue,n ũ n ẽ,n ũ n ẽ,,,,1820,,,
xokleng-453_tongue-1,,xokleng,453_tongue,n ũ n ã,n ũ n ã,,,,1820,,,
ingain-152_fat-1,,ingain,152_fat,n/d a u ŋ,n/d a u ŋ,,,,623,,,
ingain-695_drillfat-1,,ingain,695_drillfat,ĵ u + ŋ g ə + n/d a u ŋ,ĵ u + ŋ g ə + n/d a u ŋ,,,,532,,,
kaingang-152_fat-1,,kaingang,152_fat,t õ ŋ,t õ ŋ,,,,623,,,
xokleng-152_fat-1,,xokleng,152_fat,t a ŋ,t a ŋ,,,,623,,,
kaingang-1314_load-1,,kaingang,1314_load,t u,t u,,,,1027,,,
xokleng-1314_load-1,,xokleng,1314_load,t u,t u,,,,1027,,,
ingain-1048_culex-1,,ingain,1048_culex,p/V n/d u,p/V n/d u,,,,440,,,
kaingang-827_horsefly-1,,kaingang,827_horsefly,p õ t u,p õ t u,,,,869,,,
xokleng-827_horsefly-1,,xokleng,827_horsefly,p a t u,p a t u,,,,869,,,
kaingang-869_ancient-1,,kaingang,869_ancient,t ɔ ŋ,t ɔ ŋ,,,,48,,,
xokleng-869_ancient-1,,xokleng,869_ancient,t a ŋ,t a ŋ,,,,48,,,
kaingang-128_dove-1,,kaingang,128_dove,t ɔ n,t ɔ n,,,,518,,,
ingain-1378_gosingular-1,,ingain,1378_gosingular,t ẽ,t ẽ,,,,749,,,
kaingang-1378_gosingular-1,,kaingang,1378_gosingular,t ĩ,t ĩ,,,,749,,,
kaingang-1378_gosingular-2,,kaingang,1378_gosingular,t ĩ ŋ,t ĩ ŋ,,,,749,,,
xokleng-1378_gosingular-1,,xokleng,1378_gosingular,t ẽ,t ẽ,,,,749,,,
