NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
367	ROUND	SPATIAL_RELATIONS	1395	ROUND
368	RUB	BASIC_ACTIONS_AND_TECHNOLOGY	1449	RUB
369	SALIVA	THE_BODY	1503	SALIVA
370	SALT	FOOD_AND_DRINK	1274	SALT
371	SAND	THE_PHYSICAL_WORLD	671	SAND
372	SAY	SPEECH_AND_LANGUAGE	1458	SAY
373	SCALE	ANIMALS	266	SCALE
374	SCISSORS	BASIC ACTIONS AND TECHNOLOGY	1328	SCISSORS
375	SCRATCH	THE_BODY	1436	SCRATCH
376	SCROTUM	THE BODY	2834	SCROTUM
377	SEA	THE_PHYSICAL_WORLD	1474	SEA
378	SEE	SENSE_PERCEPTION	1409	SEE
379	SEED	AGRICULTURE_AND_VEGETATION	714	SEED
380	SERIEMA (Cariama cristata)	ANIMALS		
381	SEW	CLOTHING_AND_GROOMING	1457	SEW
382	SHARP	SENSE_PERCEPTION	1396	SHARP
383	SHELL	ANIMALS	598	SHELL
384	SHORT	SPATIAL_RELATIONS	1645	SHORT
385	SHOT			
386	SHOTGUN	WARFARE AND HUNTING	3948	SHOTGUN
387	SHOULDER	THE_BODY	1482	SHOULDER
388	SING	SPEECH_AND_LANGUAGE	1261	SING
389	SIT	SPATIAL_RELATIONS	1416	SIT
390	SKIN	THE_BODY	763	SKIN
391	SKY	THE_PHYSICAL_WORLD	1732	SKY
392	SLEEP	THE_BODY	1585	SLEEP
393	SLEEP (STATE)	BASIC_ACTIONS_AND_TECHNOLOGY	2972	SLEEP (STATE)
394	SLEEPING MAT			
395	SLOTH	ANIMALS	2446	SLOTH
396	SLOW	TIME	701	SLOW
397	SMALL	SPATIAL_RELATIONS	1246	SMALL
398	SMALL ANTEATER			
399	SMALL COCHROACH			
400	SMELL	SENSE_PERCEPTION	2124	SMELL
401	SMOKE			
402	SMOKE (EXHAUST)	THE_PHYSICAL_WORLD	778	SMOKE (EXHAUST)
403	SMOKE (INHALE)	AGRICULTURE AND VEGETATION	1689	SMOKE (INHALE)
404	SMOOTH	SENSE_PERCEPTION	1234	SMOOTH
405	SNAIL	ANIMALS	1543	SNAIL
406	SNAKE	ANIMALS	730	SNAKE
