id,doculect,concept,forms,lexstatid
130,Ingain,RAIN,n/d a,1201
131,Ingain,MOTHER,n ɜ̃,965
132,Kaingang,MOTHER,n ɜ̃,965
133,Xokleng,MOTHER,n õ,965
134,Kaingang,SEND,j ẽ n ẽ,1314
135,Xokleng,SEND,j ã n ã,1314
136,Ingain,EYE,n/d a,525
137,Ingain,FRUIT,n/d a,615
138,Ingain,EYE,k ɜ n/d a,525
139,Ingain,FRUIT,k ɜ n/d a,615
140,Ingain,WEEVIL,k ɜ n/d a + ŋ g ɜ,1689
141,Ingain,EYEBROW,k ɜ n/d a + k i,527
142,Kaingang,EYE,k a n ẽ,526
143,Xokleng,EYE,k ɔ n ã,526
144,Kaingang,SNAIL,n/d o n + n ũ n ẽ,1389
145,Kaingang,SNAIL,n/d u n,1388
146,Xokleng,CATERPILLAR,n/d u n,276
147,Ingain,NECK,n/d u ɲ,1006
148,Kaingang,NECK,n/d u ɲ,1006
149,Xokleng,NECK,n/d u ɲ,1006
150,Ingain,CROOKED,p a n/d o,373
151,Kaingang,BAD,p õ n/d o,110
152,Xokleng,BAD,p a n/d o,110
153,Ingain,BE LYING DOWN,n ɜ̃,139
154,Kaingang,BE LYING DOWN,n ɜ̃,139
155,Xokleng,BE LYING DOWN,n õ,139
156,Kaingang,BEAT,r ẽ,152
157,Kaingang,BEAT,r ẽ n,152
158,Xokleng,BEAT,l ã,152
159,Xokleng,BEAT,l ã n,152
160,Ingain,HANDLE,l + a r,696
161,Kaingang,PITY,ɸ ẽ r,1133
162,Kaingang,PITY,j ẽ r ẽ,1135
163,Xokleng,ARMPIT,ð ã l,73
164,Xokleng,ARMPIT,j ã l ã,70
165,Ingain,SALIVA,j a r ɜ,1276
166,Kaingang,SALIVA,j õ r a,1276
167,Xokleng,SALIVA,j ã l ɔ,1276
168,Kaingang,GO IN (SINGULAR),r õ,649
169,Xokleng,GO IN (SINGULAR),l a,649
170,Ingain,SUN,nan,1492
171,Ingain,DAY,nan,417
172,Kaingang,STAR,r õ,1454
173,Xokleng,STAR,l a,1454
174,Kaingang,FETCH WATER,r u,557
175,Kaingang,POUR,r u n,1162
176,Xokleng,WELL,l u n,1690
177,Kaingang,LEAVE,r ɛ,850
178,Kaingang,LOAD,r ĩ,890
179,Kaingang,THROW,r ĩ n,1559
180,Xokleng,THROW,l ẽ,1559
181,Xokleng,THROW,l ẽ n,1559
182,Kaingang,GO THROUGH,r e,654
183,Xokleng,GO THROUGH,l e,654
184,Kaingang,CLEAR OFF,k u r e,315
