id,doculect,concept,forms,lexstatid
3054,Tapayúna,PISS,ṭʰ u r,1129
3055,Parkatêjê,PISS,i t u,1129
3056,Parkatêjê,PISS,t u r,1129
3057,Canela-Krahô,PISS,i t u,1129
3058,Canela-Krahô,PISS,t u r,1129
3059,Gavião-Pyhcopji,PISS,ɛ̤̃ j t ɔ̤,1129
3060,Gavião-Pyhcopji,PISS,t ɔ̤ r,1129
3061,Mẽbêngôkre,PISS ON,k a t u,1130
3062,Mẽbêngôkre,PISS ON,k at u r,1130
3063,Canela-Krahô,PISS ON,k a t u,1130
3064,Canela-Krahô,PISS ON,k a t u r,1130
3065,Mẽbêngôkre,PAW,ɲ i t u,1089
3066,Parkatêjê,PAW,j õ t u,1089
3067,Canela-Krahô,PAW,j ũ ʔ t u,1089
3068,Gavião-Pyhcopji,PAW,j õ̤ t ɔ̤,1089
3069,Mẽbêngôkre,DOVE,t u t,447
3070,Apinayé,DOVE,t uː + r ɛ,447
3071,Apinayé,DOVE,t uː + t i,447
3072,Parkatêjê,DOVE,t u t + r ɛ,447
3073,Parkatêjê,DOVE,t u t + t i,447
3074,Canela-Krahô,DOVE,t u t,447
3075,Gavião-Pyhcopji,DOVE,t ɔ̤ t + r ɛ,447
3076,Gavião-Pyhcopji,DOVE,t ɔ̤ t + t ɛ̤,447
3077,Apinayé,BACK,k a t u t,99
3078,Kĩsêdjê,BACK,k a ṭʰ u t,99
3079,Tapayúna,BACK,k a ṭʰ u t,99
3080,Parkatêjê,BACK,k a t u t,99
3081,Canela-Krahô,BACK,k a t u t,99
3082,Gavião-Pyhcopji,BEHIND THE VILLAGE,kʰ r ɛ̤̃ + k a t ɔ̤ t + r ɛ,159
3083,Mẽbêngôkre,OLD,t ũ m,1038
3084,Apinayé,OLD,t ũ m,1038
3085,Kĩsêdjê,OLD,ṭʰ ũ m,1038
3086,Tapayúna,OLD,ṭʰ ũ m,1038
3087,Parkatêjê,OLD,t ũ m,1038
3088,Canela-Krahô,OLD,t ũ m,1038
3089,Canela-Krahô,DIRTY,t ũ m,436
3090,Gavião-Pyhcopji,DIRTY,t õ̤ m,436
3091,Gavião-Pyhcopji,ROTTEN,t õ̤ m,1260
3092,Mẽbêngôkre,POUND,k a t w ɜ̂,1159
3093,Mẽbêngôkre,POUND,k a ʔ u k,1160
3094,Apinayé,POUND,k a ʔ t v ɜ̂,1159
3095,Apinayé,POUND,k a ʔ u k,1160
3096,Parkatêjê,POUND,t w ɜ̂,1159
3097,Parkatêjê,POUND,h u k,1160
3098,Canela-Krahô,POUND,t w ɜ̂,1159
3099,Canela-Krahô,POUND,h u k,1160
3100,Canela-Krahô,POUND,k a h u k,1160
3101,Canela-Krahô,POUND,k a ʔ t w ɜ̂,1159
3102,Gavião-Pyhcopji,POUND,t w ɨ,1159
3103,Gavião-Pyhcopji,POUND,h ɔ̤ k,1160
3104,Gavião-Pyhcopji,POUND,k a h ɔ̤ k,1160
3105,Gavião-Pyhcopji,POUND,k a t w ɨ,1159
3106,Mẽbêngôkre,FAT,t w ɜ̂ m,537
3107,Apinayé,FAT,t v ɜ̂ m,537
3108,Kĩsêdjê,FAT,ṭʰ w ɜ̂ m,537
3109,Tapayúna,FAT,ṭʰ w ɜ̂ w,537
3110,Parkatêjê,FAT,t w ɜ̂ m,537
3111,Canela-Krahô,FAT,t w ɜ̂ m,537
3112,Gavião-Pyhcopji,FAT,t w ɨ m,537
3113,Mẽbêngôkre,CECROPIA,a t w ɜ̂ r,280
3114,Apinayé,CECROPIA,a t w ɜ̂ː + t i,280
3115,Parkatêjê,CECROPIA,a t w ɜ̂ r,280
3116,Canela-Krahô,CECROPIA,a t w ɜ̂ r,280
3117,Gavião-Pyhcopji,CECROPIA,aː t w ɨ r,280
3118,Mẽbêngôkre,LEG,t ɛ,854
3119,Apinayé,LEG,t ɛ,854
3120,Kĩsêdjê,LEG,ṭʰ ɛ,854
3121,Tapayúna,LEG,ṭʰ ɛ,854
3122,Parkatêjê,LEG,t ɛ,854
3123,Canela-Krahô,LEG,t ɛ,854
3124,Gavião-Pyhcopji,LEG,t ɛ,854
3125,Mẽbêngôkre,COB,t ɛ,328
3126,Apinayé,COB,t ɛ,328
3127,Kĩsêdjê,COB,ṭʰ ɛ,328
3128,Tapayúna,COB,ṭʰ ɛ,328
3129,Tapayúna,COB,j a ṭʰ ɛ,328
3130,Parkatêjê,COB,t ɛ,328
3131,Canela-Krahô,COB,t ɛ,328
3132,Gavião-Pyhcopji,COB,t ɛ,328
3133,Mẽbêngôkre,PALM STEM,j a t ɛ,1072
3134,Apinayé,PALM STEM,j a t ɛ,1072
3135,Canela-Krahô,PALM STEM,j a t ɛ,1072
3136,Mẽbêngôkre,SCRUTINISE,k a t ɛ,1303
3137,Mẽbêngôkre,SCRUTINISE,k a ʔ ɛ k,1303
3138,Apinayé,SCRUTINISE,k a t ɛ,1303
3139,Apinayé,SCRUTINISE,k a ʔ t ɛ,1303
3140,Apinayé,SCRUTINISE,k a ɛ k,1303
3141,Apinayé,SCRUTINISE,k a ʔ ɛ k,1303
3142,Parkatêjê,SCRUTINISE,k a t ɛ,1303
3143,Parkatêjê,SCRUTINISE,k a t ɛ n,1303
3144,Parkatêjê,SCRUTINISE,k a h ɛ k,1303
3145,Canela-Krahô,SCRUTINISE,k a ʔ t ɛ,1303
3146,Canela-Krahô,SCRUTINISE,k a ʔ h ɛ k,1303
3147,Gavião-Pyhcopji,SCRUTINISE,k a ʔ t ɛ,1303
3148,Gavião-Pyhcopji,SCRUTINISE,k a ʔ h i k,1303
3149,Mẽbêngôkre,REMOVE,k u j a t ɛ,1226
3150,Mẽbêngôkre,REMOVE,k u j a ɛ k,1226
3151,Apinayé,REMOVE,k u j a t ɛ,1226
3152,Apinayé,REMOVE,k u j a ɛ k,1226
3153,Kĩsêdjê,PUSH,k u j a ṭʰ ɛ,1188
3154,Kĩsêdjê,REMOVE,k u j a s ɛ k,1226
3155,Tapayúna,REMOVE,k u j a ṭʰ ɛ,1226
3156,Parkatêjê,REMOVE,k u j a t ɛ,1226
3157,Parkatêjê,REMOVE,k u j a h ɛ k,1226
3158,Canela-Krahô,REMOVE,k u j a t ɛ,1226
3159,Canela-Krahô,REMOVE,k u j a h ɛ k,1226
3160,Gavião-Pyhcopji,REMOVE,k ɔ̤ j a t ɛ,1226
3161,Gavião-Pyhcopji,REMOVE,k ɔ̤ j a h i k,1226
3162,Mẽbêngôkre,FISH,t ɛ p,574
3163,Apinayé,FISH,t ɛ p,574
3164,Kĩsêdjê,FISH,ṭʰ ɛ p,574
3165,Tapayúna,FISH,ṭʰ ɛ p,574
3166,Parkatêjê,FISH,t ɛ p,574
3167,Canela-Krahô,FISH,t ɛ p,574
3168,Gavião-Pyhcopji,FISH,t ɛ p,574
3169,Mẽbêngôkre,SHAKE,t ɛ r ɛ t ɛ t,1325
3170,Apinayé,SHAKE,t ɛ r t ɛ t,1325
3171,Canela-Krahô,SHAKE,t ɛ r t ɛ t,1325
3172,Gavião-Pyhcopji,SHAKE,t ɛ r t ɛ t,1325
3173,Mẽbêngôkre,GO (SINGULAR),t ẽ,648
3174,Mẽbêngôkre,GO (SINGULAR),t ẽ m,648
3175,Apinayé,GO (SINGULAR),t ẽ,648
3176,Apinayé,GO (SINGULAR),t ẽ m,648
3177,Kĩsêdjê,GO (SINGULAR),ṭʰ ẽ,648
3178,Kĩsêdjê,GO (SINGULAR),ṭʰ ẽ m,648
3179,Tapayúna,GO (SINGULAR),ṭʰ ẽ,648
3180,Tapayúna,GO (SINGULAR),ṭʰ ẽ m,648
3181,Parkatêjê,GO (SINGULAR),t ẽ,648
3182,Parkatêjê,GO (SINGULAR),t ẽ n,648
3183,Canela-Krahô,GO (SINGULAR),t ẽ,648
3184,Canela-Krahô,GO (SINGULAR),t ẽ m,648
3185,Gavião-Pyhcopji,GO (SINGULAR),t ɛ̤̃,648
3186,Gavião-Pyhcopji,GO (SINGULAR),t ɛ̤̃ m,648
3187,Mẽbêngôkre,BYRSONIMA CRASSIFOLIA,k u t ẽ,253
3188,Apinayé,BYRSONIMA CRASSIFOLIA,k u t ẽ + k a ɜ + t i,253
3189,Apinayé,BYRSONIMA CRASSIFOLIA,k u t ɜ + k ɜ ɜ k,253
3190,Kĩsêdjê,BYRSONIMA CRASSIFOLIA,k u ṭʰ ẽ + s ɨ,253
3191,Kĩsêdjê,BYRSONIMA CRASSIFOLIA,k u ṭʰ ẽ + c i + s ɨ,253
3192,Canela-Krahô,BYRSONIMA CRASSIFOLIA,k u t ẽ,253
3193,Gavião-Pyhcopji,BYRSONIMA CRASSIFOLIA,k ɔ̤ t ẽ,253
3194,Mẽbêngôkre,MAKE UP A CHEEK,a j + t ẽ k,923
3195,Mẽbêngôkre,MAKE UP A CHEEK,a r + t ẽ k,923
3196,Parkatêjê,GILL,j a r a t ẽ k,637
3197,Canela-Krahô,MAKE UP A CHEEK,j a r t ẽ k,922
3198,Mẽbêngôkre,CURASSOW,m u t ẽ k,384
3199,Apinayé,PENELOPE (BIRD),m/b uː t ẽ k,1102
3200,Kĩsêdjê,CURASSOW,m/b u ṭʰ ẽ ŋ + c i,384
3201,Tapayúna,CURASSOW,w̃ u ṭʰ ẽ,384
3202,Parkatêjê,PENELOPE (BIRD),p ɨ t ẽ k,1102
3203,Parkatêjê,CURASSOW,p ɨ t ẽ k,384
3204,Canela-Krahô,PENELOPE (BIRD),p ɨ t ẽ k,1102
3205,Gavião-Pyhcopji,CURASSOW,p ɜ̤ t ẽ k,384
3206,Mẽbêngôkre,WART,t ɛ,1667
3207,Parkatêjê,WART,t ɛ,1667
3208,Canela-Krahô,PENILE DISEASE,t ɛ,1103
3209,Gavião-Pyhcopji,WART,t iː,1667
3210,Mẽbêngôkre,TICK,t ɛ,1567
3211,Apinayé,TICK,t ɛ + t i,1567
3212,Apinayé,TICK,t ɛ ʔ + t i,1567
3213,Tapayúna,TICK,ṭʰ ɛ,1567
3214,Parkatêjê,TICK,t ɛ ɛ + r ɛ,1567
3215,Parkatêjê,TICK,t ɛ ɛ + t i,1567
3216,Canela-Krahô,TICK,t ɛ r + t i,1567
3217,Gavião-Pyhcopji,TICK,t iː + r ɛ,1567
3218,Mẽbêngôkre,FOR ONCE,t ɛ m + b ɛ,605
3219,Apinayé,CLOSE,i + t ɛ p,319
3220,Apinayé,CLOSE,j a + t ɛ p,319
3221,Parkatêjê,SOON,t ɛ p,1411
3222,Canela-Krahô,CLOSE,t ɛ p,319
3223,Gavião-Pyhcopji,CLOSE,t i p,319
3224,Mẽbêngôkre,PLAY ARROW THAT BOUNCES,t ɛ k,1146
3225,Apinayé,PLAY ARROW THAT BOUNCES,t ɛ k,1146
3226,Parkatêjê,PLAY ARROW THAT BOUNCES,t ɛ k,1146
3227,Canela-Krahô,PLAY ARROW THAT BOUNCES,t ɛ k,1146
3228,Gavião-Pyhcopji,PLAY ARROW THAT BOUNCES,t i k,1146
3229,Parkatêjê,AÇAI (EUTERPE OLERACEA),t ɛ r + r ɛ,94
3230,Parkatêjê,AÇAI (EUTERPE OLERACEA),t ɛ r + t i,94
3231,Canela-Krahô,AÇAI (EUTERPE OLERACEA),t ɛ r + t i,94
3232,Gavião-Pyhcopji,AÇAI (EUTERPE OLERACEA),t i r + r ɛ,94
3233,Mẽbêngôkre,DREAM,p ɨ t i,452
3234,Mẽbêngôkre,DREAM,p ɨ t i r,452
3235,Apinayé,DREAM,a + m ỹ t i,451
3236,Apinayé,DREAM,p i + m t i r,451
3237,Kĩsêdjê,DREAM,w ɨ t i + r ɛ,452
3238,Parkatêjê,DREAM,h + õ t i r,455
3239,Canela-Krahô,DREAM,p ɨ t i,452
3240,Canela-Krahô,DREAM,p ɨ t i r,452
3241,Gavião-Pyhcopji,DREAM,a + m t ɛ̤,451
3242,Gavião-Pyhcopji,DREAM,p ɛ̤̃ + m t ɛ̤ r,451
3243,Mẽbêngôkre,BELLY,tik,164
3244,Kĩsêdjê,BELLY,ṭʰik,164
3245,Parkatêjê,PREGNANT,tik,1168
3246,Canela-Krahô,PREGNANT,tik,1168
3247,Gavião-Pyhcopji,PREGNANT,tɛ̤k,1168
3248,Mẽbêngôkre,HEAVY,p ɨ t ĩ,726
3249,Apinayé,HEAVY,p ɨ t ĩ,726
3250,Kĩsêdjê,HEAVY,w ɨ t ĩ,726
3251,Parkatêjê,HEAVY,p u t ĩ + t i,726
3252,Canela-Krahô,HEAVY,p ɨ t ĩ,726
3253,Gavião-Pyhcopji,HEAVY,p ɜ̤ t ɛ̤̃ː,726
3254,Mẽbêngôkre,ORNAMENTS,ɲ i + ʔ ĩ k,1047
3255,Parkatêjê,WHITE ROPE,h ɜ h i k + t i,1706
3256,Canela-Krahô,INTERTWINE,a ʔ + t ĩ,794
3257,Canela-Krahô,INTERTWINE,j ɜ ʔ + h ĩ k,795
3258,Gavião-Pyhcopji,INTERTWINE,a ʔ + t ɛ̤̃,794
3259,Gavião-Pyhcopji,INTERTWINE,j ɜ ʔ + h ɛ̤̃ k,795
3260,Apinayé,SNEEZE,a ʔ + c ĩ,1393
3261,Apinayé,SNEEZE,c ɜ + ʔ ĩ k,1396
3262,Parkatêjê,SNEEZE,t + a t ĩ,1395
3263,Canela-Krahô,SNEEZE,a ʔ + t ĩ,1393
3264,Canela-Krahô,SNEEZE,a ʔ + c ĩ,1393
3265,Canela-Krahô,SNEEZE,j ɜ ʔ + h ĩ k,1396
3266,Mẽbêngôkre,ALIVE,t ĩ n,36
3267,Apinayé,ALIVE,t ĩ r,36
3268,Kĩsêdjê,ALIVE,ṭʰ ĩ,36
3269,Kĩsêdjê,ALIVE,ṭʰ ĩ r,36
3270,Parkatêjê,ALIVE,t ĩ r,36
3271,Canela-Krahô,ALIVE,t ĩ r,36
3272,Gavião-Pyhcopji,ALIVE,t ɛ̤̃ r,36
3273,Mẽbêngôkre,BURN,c ɛ r,240
3274,Mẽbêngôkre,BURN,c ɛ t,240
3275,Apinayé,BURN,c ɛ r,240
3276,Apinayé,BURN,c ɛ t,240
3277,Kĩsêdjê,BURN,s ɛ t,240
3278,Tapayúna,BURN,t ɛ t,240
3279,Parkatêjê,BURN,c ɛ t,240
3280,Canela-Krahô,BURN,c ɛ t,240
3281,Canela-Krahô,BURN,t ɔ + c ɛ r,240
3282,Gavião-Pyhcopji,BURN,c i t,240
3283,Mẽbêngôkre,STINGRAY,m j ɛ c ɛ t,1465
3284,Apinayé,STINGRAY,m/b r ɛ r c ɛ t,1465
3285,Apinayé,STINGRAY,m/b r ɛ n c ɛ t,1465
3286,Kĩsêdjê,STINGRAY,j ɛ n s ɛ + c i,1467
3287,Parkatêjê,STINGRAY,c ɛ c ɛ t + r ɛ,1465
3288,Canela-Krahô,STINGRAY,c ɛ w c ɛ t,1465
3289,Gavião-Pyhcopji,STINGRAY,c ɛ w c ɛ t,1465
3290,Mẽbêngôkre,RAIN,n a,1201
3291,Apinayé,RAIN,n/d a,1201
3292,Kĩsêdjê,RAIN,n/d a,1201
3293,Tapayúna,RAIN,n/d a,1201
3294,Parkatêjê,COMING RAIN,t a,346
3295,Parkatêjê,WINTER,t a,1718
3296,Canela-Krahô,RAIN,t a,1201
3297,Gavião-Pyhcopji,RAIN,t a,1201
3298,Gavião-Pyhcopji,RAIN,t a ʔ + t ɛ̤,1201
3299,Mẽbêngôkre,SOUR,n a p,1413
3300,Gavião-Pyhcopji,SOUR,t a p,1413
3301,Gavião-Pyhcopji,RIPE,t a p,1242
3302,Mẽbêngôkre,FAST,k u n a p,536
3303,Apinayé,FAST,k u n/d a p + t i,536
3304,Apinayé,FAST,ŋ/g ɔ n/d a p + t i,536
3305,Parkatêjê,FAST,k u t a p + t i,536
3306,Canela-Krahô,FAST,k u t a p,536
3307,Apinayé,TOUCH LIGHTLY,n/d ɜ t,1600
3308,Tapayúna,NORTH,k a j kʰ w a + n/d ɜ t j a j t i + ṭʰ u,1029
3309,Tapayúna,SOUTH,k a j kʰ w a + n/d ɜ t j a j t i + ṭʰ u,1419
3310,Parkatêjê,TOUCH LIGHTLY,t ɜ t,1600
3311,Canela-Krahô,TOUCH LIGHTLY,t ɜ t,1600
3312,Gavião-Pyhcopji,TOUCH LIGHTLY,t ɜ t,1600
3313,Mẽbêngôkre,WAIST,n ɜ t,1652
3314,Kĩsêdjê,WAIST,kʰ r a t + n/d ɜ t,1653
3315,Canela-Krahô,WAIST,t ɜ t,1652
3316,Gavião-Pyhcopji,WAIST,t ɜ̤ t,1652
3317,Mẽbêngôkre,MOTHER,n ɜ̃,965
3318,Apinayé,MOTHER,n ɜ̃,965
3319,Kĩsêdjê,MOTHER,n ɜ̃,965
3320,Parkatêjê,SOMEONE ELSE'S MOTHER,a + n ɜ,1408
3321,Canela-Krahô,MOTHER,a + n ɜ,965
3322,Mẽbêngôkre,TRACK,p ɨ n ɜ̃,1601
3323,Mẽbêngôkre,TRACK,p ɨ n ɜ̃ r,1601
3324,Canela-Krahô,TRACK,p ɨ n ɜ̃,1601
3325,Canela-Krahô,TRACK,p ɨ n ɜ̃ r,1601
3326,Mẽbêngôkre,KICK,k a n ɜ̃,820
3327,Mẽbêngôkre,KICK,k a n ɜ̃ r,820
3328,Tapayúna,KICK,k a n ɜ̃,820
3329,Tapayúna,KICK,k a n ɜ̃ r,820
3330,Canela-Krahô,KICK,k a m n ɜ̃,820
3331,Canela-Krahô,KICK,k a m n ɜ̃ n,820
3332,Gavião-Pyhcopji,KICK,k ã m n ɜ̃,820
3333,Gavião-Pyhcopji,KICK,k ã m n ɜ̃ n,820
3334,Mẽbêngôkre,NEW,n ɨ,1019
3335,Apinayé,NEW,n/d ɨ w,1017
3336,Kĩsêdjê,NEW,n/d ɨ p,1017
3337,Tapayúna,NEW,n/d ɨ p,1017
3338,Parkatêjê,NEW,t û,1017
3339,Canela-Krahô,NEW,t û,1017
3340,Gavião-Pyhcopji,NEW,t ɔ̤ w,1017
3341,Mẽbêngôkre,BABY BIRD,n ɔ + r ɛ,96
3342,Apinayé,BABY BIRD,n/d ɔː + r ɛ,96
3343,Kĩsêdjê,BABY BIRD,n/d ɔ,96
3344,Canela-Krahô,BABY BIRD,t ɔ + r ɛ,96
3345,Gavião-Pyhcopji,BABY BIRD,t ɔː,96
3346,Mẽbêngôkre,EYE,n ɔ,525
3347,Apinayé,EYE,n/d ɔ,525
3348,Kĩsêdjê,EYE,n/d ɔ,525
3349,Tapayúna,EYE,n/d ɔ,525
3350,Parkatêjê,EYE,t ɔ,525
3351,Canela-Krahô,EYE,t ɔ,525
3352,Gavião-Pyhcopji,EYE,t ɔ,525
3353,Mẽbêngôkre,TIP,ɲ i n ɔ,1578
3354,Apinayé,CREEK,ʔ + i n/d ɔ,370
3355,Apinayé,SWAMP,ʔ + i n/d ɔ,1498
3356,Kĩsêdjê,TIP,ɲ ĩ n/d ɔ,1578
3357,Tapayúna,WEST,k a j kʰ w a + ɲ ĩ n/d ɔ,1691
3358,Parkatêjê,HEAD OF THE BEACH,j i t ɔ,710
3359,Canela-Krahô,BUD,j i t ɔ,235
3360,Gavião-Pyhcopji,TIP,j ɛ̤̃ t ɔ,1578
3361,Gavião-Pyhcopji,PALM HEART,j ɛ̤̃ t ɔ,1068
3362,Mẽbêngôkre,SEND,j a n ɔ,1314
3363,Mẽbêngôkre,SEND,j a n ɔ r,1314
3364,Apinayé,SEND,j a n/d ɔ,1314
3365,Apinayé,SEND,j a n/d ɔ r,1314
3366,Kĩsêdjê,SEND,j a n/d ɔ,1314
3367,Kĩsêdjê,SEND,j a n/d ɔ r,1314
3368,Parkatêjê,MOTIVATE,j a t ɔ,973
3369,Parkatêjê,SEND,j a t ɔ r,1314
3370,Canela-Krahô,INVITE,j a t ɔ,796
3371,Canela-Krahô,SEND,j a t ɔ r,1314
3372,Gavião-Pyhcopji,INVITE,j a t ɔ,796
3373,Gavião-Pyhcopji,SEND,j a t ɔ r,1314
3374,Mẽbêngôkre,CHASE,k u n ɔ,286
3375,Mẽbêngôkre,HUNT,k u n ɔ r,761
3376,Apinayé,CHASE,a + k u n/d ɔ,286
3377,Apinayé,HUNT,p i + k u n/d ɔ r,761
3378,Tapayúna,CHASE,a + k n/d ɔ,286
3379,Parkatêjê,CHASE,a + k t ɔ r,286
3380,Parkatêjê,HUNT,a j + p i + k t ɔ r,761
3381,Canela-Krahô,GO OUT (PLURAL),k u t ɔ,653
3382,Canela-Krahô,HUNT,k u t ɔ r,761
3383,Gavião-Pyhcopji,GO OUT (PLURAL),k ɔ̤ t ɔ,653
3384,Gavião-Pyhcopji,HUNT,k ɔ̤ t ɔ r,761
3385,Mẽbêngôkre,BELLY BUTTON,n ɔ t,166
3386,Apinayé,BELLY BUTTON,n/d ɔ t,166
3387,Kĩsêdjê,THREE MARYS,ŋ/g r ɔ t + n/d ɔ t + k a h w a,1553
3388,Parkatêjê,BELLY BUTTON,j õ n t ɔ t,166
3389,Canela-Krahô,BELLY BUTTON,j õ n t ɔ t,166
3390,Gavião-Pyhcopji,BELLY BUTTON,t ɔ t,166
3391,Gavião-Pyhcopji,BELLY BUTTON,j õ n t ɔ t,166
3392,Mẽbêngôkre,DIVE,n ɔ c,440
3393,Parkatêjê,JUMP,n t ɔ j,817
3394,Parkatêjê,RUN,n t ɔ j t ɔ j,1272
3395,Canela-Krahô,JUMP,t ɔ j,817
3396,Gavião-Pyhcopji,JUMP,t ɔ s,817
3397,Mẽbêngôkre,BE LYING DOWN (SINGULAR),n õ,140
3398,Mẽbêngôkre,BE LYING DOWN (SINGULAR),n õ r,140
3399,Apinayé,BE LYING DOWN (SINGULAR),n õ,140
3400,Apinayé,BE LYING DOWN (SINGULAR),n õ r,140
3401,Kĩsêdjê,BE LYING DOWN (SINGULAR),n õ,140
3402,Kĩsêdjê,BE LYING DOWN (SINGULAR),n õ r,140
3403,Tapayúna,BE LYING DOWN (SINGULAR),n õ,140
3404,Parkatêjê,BE LYING DOWN (SINGULAR),n õ,140
3405,Parkatêjê,BE LYING DOWN (SINGULAR),n õ n,140
3406,Canela-Krahô,BE LYING DOWN (SINGULAR),n õ,140
3407,Canela-Krahô,BE LYING DOWN (SINGULAR),n õ r,140
3408,Gavião-Pyhcopji,BE LYING DOWN (SINGULAR),n õ,140
3409,Gavião-Pyhcopji,BE LYING DOWN (SINGULAR),n õ r,140
3410,Mẽbêngôkre,SHIRT,ɲinɔ-kɜ,1336
3411,Apinayé,TORSO,ɲindɔ,1593
3412,Parkatêjê,RIB,jitɔ,1234
3413,Canela-Krahô,TORSO,jĩtɔ,1593
3414,Gavião-Pyhcopji,TORSO,jɛ̤̃tu,1593
3415,Mẽbêngôkre,BAD,p u n u,110
3416,Apinayé,BAD,p u n/d u j,110
3417,Kĩsêdjê,GET HURT,w ɨ n/d u,631
3418,Tapayúna,CUT YOURSELF,w ɨ n/d u,397
3419,Mẽbêngôkre,LICK,k u n w ɜ̂,855
3420,Mẽbêngôkre,LICK,k u n w ɜ̂ ɲ,855
3421,Apinayé,LICK,k u n/d w ɜ̂,855
3422,Canela-Krahô,LICK,k ũ m t w ɜ̂,855
3423,Canela-Krahô,LICK,k ũ m t w ɜ̂ n,855
3424,Apinayé,PALM EYE,ɲ i n/d w ɜ̂ p,1066
3425,Parkatêjê,PALM EYE,j i t w ɜ̂ p,1066
3426,Canela-Krahô,PALM EYE,j i t w ɜ̂ p,1066
3427,Gavião-Pyhcopji,PALM EYE,j ɛ̤̃ t w ɨ p,1066
3428,Mẽbêngôkre,SNAIL,n w ɜ̂ n,1388
3429,Apinayé,SNAIL,n/d w ɜ̂ n,1388
3430,Parkatêjê,SNAIL,t w ɜ̂ n,1388
3431,Canela-Krahô,SNAIL,t w ɜ̂ n,1388
3432,Mẽbêngôkre,PULSE,ɲ i n w ɜ̂ c,1176
3433,Apinayé,PULSE,ɲ i n/d w ɜ̂ c,1176
3434,Parkatêjê,PULSE,j ɜ̃ m t ɨ j ɛ̆,1179
3435,Canela-Krahô,PULSE,j ũ n/t ɨ j,1178
3436,Gavião-Pyhcopji,PULSE,j õ̤ m t ɨ s,1178
3437,Mẽbêngôkre,CHEEKBONE,ɲ i n ɛ,291
3438,Apinayé,CHEEK,ɲ i n/d ɛ,288
3439,Canela-Krahô,CHEEK,j ĩ t ɛ,288
3440,Gavião-Pyhcopji,CHEEK,j ɛ̤̃ t ɛ,288
3441,Mẽbêngôkre,MATURE,n ɛ m,939
3442,Apinayé,MATURE,n/d ɛ p,937
3443,Kĩsêdjê,RED,n/d ɛ p,1214
3444,Tapayúna,MATURE,n/d ɛ p,937
3445,Canela-Krahô,MATURE,t ɛ p,937
3446,Gavião-Pyhcopji,MATURE,t ɛ p,937
3447,Mẽbêngôkre,AND (SAME SUBJECT),n ẽ,49
3448,Apinayé,AND (SAME SUBJECT),n ẽ,49
3449,Kĩsêdjê,AND (SAME SUBJECT),n ẽ,49
3450,Tapayúna,AND (SAME SUBJECT),n ẽ,49
3451,Canela-Krahô,AND (SAME SUBJECT),n ẽ,49
3452,Gavião-Pyhcopji,AND (SAME SUBJECT),n ẽ,49
3453,Mẽbêngôkre,DO LIKE THIS,a n ẽ,444
3454,Mẽbêngôkre,DO LIKE THIS,a ɲ ỹ r,445
3455,Apinayé,DO LIKE THIS,a n ẽ,444
3456,Apinayé,DO LIKE THIS,a ɲ ỹ r,445
3457,Kĩsêdjê,DO LIKE THIS,n ẽ,444
3458,Kĩsêdjê,DO LIKE THIS,ɲ ỹ r,445
3459,Parkatêjê,DO LIKE THIS,a n ẽ,444
3460,Parkatêjê,DO LIKE THIS,h a n ẽ,444
3461,Parkatêjê,DO LIKE THIS,h a j ỹ r,445
3462,Canela-Krahô,DO LIKE THIS,h a n ẽ,444
3463,Canela-Krahô,DO LIKE THIS,h a j ỹ r,445
3464,Gavião-Pyhcopji,DO LIKE THIS,h ã n ẽ,444
3465,Gavião-Pyhcopji,DO LIKE THIS,h a j ɜ̤̃ r,445
3466,Mẽbêngôkre,SAY LIKE THIS,a n ẽ,1287
3467,Mẽbêngôkre,SAY LIKE THIS,a ɲ ỹ r,1288
3468,Apinayé,SAY LIKE THIS,a n ẽ,1287
3469,Apinayé,SAY LIKE THIS,a ɲ ỹ r,1288
3470,Kĩsêdjê,SAY LIKE THIS,n ẽ,1287
3471,Kĩsêdjê,SAY LIKE THIS,ɲ ỹ r,1288
3472,Parkatêjê,SAY LIKE THIS,a n ẽ,1287
3473,Parkatêjê,SAY LIKE THIS,h a n ẽ,1287
3474,Parkatêjê,SAY LIKE THIS,h a j ỹ r,1288
3475,Canela-Krahô,SAY LIKE THIS,h a n ẽ,1287
3476,Canela-Krahô,SAY LIKE THIS,h a j ỹ r,1288
3477,Gavião-Pyhcopji,SAY LIKE THIS,h ã n ẽ,1287
3478,Gavião-Pyhcopji,SAY LIKE THIS,h a j ɜ̤̃ r,1288
3479,Mẽbêngôkre,OTTER,n ɛ,1050
3480,Apinayé,OTTER,n/d ɛ,1050
3481,Tapayúna,OTTER,n/d ɛ,1050
3482,Parkatêjê,OTTER,t ɛ + r ɛ,1050
3483,Parkatêjê,OTTER,t ɛ + t i,1050
3484,Canela-Krahô,OTTER,t ɛ t + r ɛ,1050
3485,Canela-Krahô,OTTER,t ɛ t + t i,1050
3486,Gavião-Pyhcopji,OTTER,t ɛ + r ɛ,1050
3487,Mẽbêngôkre,SQUEEZE,j a n ɛ,1439
3488,Mẽbêngôkre,SQUEEZE,j a n ɛ ɲ,1439
3489,Apinayé,SQUEEZE,j a n/d ɛ,1439
3490,Apinayé,SQUEEZE,j a n/d ɛ ɲ,1439
3491,Kĩsêdjê,SQUEEZE,j a n/d ɛ,1439
3492,Kĩsêdjê,SQUEEZE,j a n/d ɛ n,1439
3493,Tapayúna,SQUEEZE,j a n/d ɛ,1439
